1593,Food Lion Store,1775 CLIPPERS WAY SW,SUNSET BEACH,28468,FL MFD
1606,FOOD LION - RAL - WHITEVILLE,1200 N JK POWELL BLVD,WHITEVILLE,28472,FL MFD
1607,Food Lion Store,9869 OCEAN HWY W,CALABASH,28467,FL MFD
1655,Food Lion-Raleigh,1735 REED RD NE,LELAND,28451,FL MFD
1657,Food Lion,4330 E 10TH ST,GREENVILLE,27858,FL MFD
167,Food Lion Store,104 BRANCHWOOD SHOPPING CTR,JACKSONVILLE,28546,FL MFD
1674,Food Lion Store,250 EASY ST,GREENVILLE,27834,FL MFD
1687,Food Lion-Raleigh,1304 W VERNON AVE,KINSTON,28504,FL MFD
1694,Food Lion-Raleigh,108 TABOR XING,TABOR CITY,28463,FL MFD
2108,Food Lion,270 NC HIGHWAY 43,VANCEBORO,28586,FL MFD
2110,Food Lion,625 HWY 64 E.,COLUMBIA,27925,FL MFD
2114,FOOD LION,5901 E OAK ISLAND DR,OAK ISLAND,28465,FL MFD
2116,Food Lion,8057 highway 117 south,Rocky Point,28457,FL MFD
2130,Food Lion,301 South Willis Drive,Shallotte,28470,FL MFD
221,Food Lion Store,3600 S COLLEGE RD,WILMINGTON,28412,FL MFD
2220,Food Lion,851 WASHINGTON SQUARE MALL,WASHINGTON,27889,FL MFD
2223,Food Lion,4891 LONG BEACH RD SE,SOUTHPORT,28461,FL MFD
2511,Food Lion-Raleigh,120 NC 102 W,AYDEN,28513,FL MFD
2526,Food Lion-Raleigh,80 WHITEVILLE TOWN CTR,WHITEVILLE,28472,FL MFD
2546,Food Lion,1100 SABBATH HOME RD SW,SUPPLY,28462,FL MFD
2553,Food Lion-Raleigh,1401 N LAKE PARK BLVD,CAROLINA BEACH,28428,FL MFD
2556,Food Lion-Raleigh,121 BRIDGE TOWN BLVD,NEW BERN,28560,FL MFD
2558,Food Lion-Raleigh,22713 NC HIGHWAY 903,ROBERSONVILLE,27871,FL MFD
2571,Food Lion-Raleigh,5909 HWY 11 S,PINK HILL,28572,FL MFD
2580,Food Lion-Raleigh,301 E WASHINGTON ST,LA GRANGE,28551,FL MFD
2601,Food Lion,4915 ARENDELL ST,MOREHEAD CITY,28557,FL MFD
2618,Food Lion,1202 W BROAD ST,ELIZABETHTOWN,28337,FL MFD
2628,Food Lion,1010 W FORT MACON RD,ATLANTIC BEACH,28512,FL MFD
2635,Food Lion,3434 COOPERATIVE WAY,FARMVILLE,27828,FL MFD
279,Food Lion Store,1402 E MAIN ST,HAVELOCK,28532,FL MFD
349,Food Lion Store,175 FREEDOM WAY,JACKSONVILLE,28544,FL MFD
351,Food Lion Store,602 US 117 N,Burgaw,28425,FL MFD
401,Food Lion Store,965 OLD FOLKSTONE RD STE 160,SNEADS FERRY,28460,FL MFD
415,Food Lion Store,607 EAST BLVD,WILLIAMSTON,27892,FL MFD
486,Food Lion Store,3136 E 10TH ST,GREENVILLE,27858,FL MFD
491,Food Lion Store,8700 EMERALD DR,EMERALD ISLE,28594,FL MFD
541,Food Lion Store,824 US HIGHWAY 64 E,PLYMOUTH,27962,FL MFD
61,Food Lion Store,2410 N HERRITAGE ST,KINSTON,28501,FL MFD
671,Food Lion Store,998 Us Hwy 264 Bypass,Belhaven,27810,FL MFD
683,Food Lion Store,1409 W CORBETT AVE,SWANSBORO,28584,FL MFD
742,Food Lion Store,1319 MILITARY CUTOFF RD,WILMINGTON,28405,FL MFD
743,Food Lion Store,13601 Highway 50,Surf City,28445,FL MFD
775,Food Lion Store,2040 Wilmington Hwy Ste 13,JACKSONVILLE,28540,FL MFD
779,Food Lion Store,4822 OLD TAR RD,WINTERVILLE,28590,FL MFD
817,Food Lion Store,935 US HIGHWAY 70 E,NEW BERN,28560,FL MFD
825,Food Lion Store,1214 S GLENBURNIE RD,NEW BERN,28562,FL MFD
852,Food Lion Store,103 VILLAGE RD NE,LELAND,28451,FL MFD
909,Food Lion Store,6400 CAROLINA BEACH RD,WILMINGTON,28412,FL MFD
910,Food Lion Store,14564 US HIGHWAY 17 N,HAMPSTEAD,28443,FL MFD
936,Food Lion Store,130 Hwy 50 S,Kenansville,28349,FL MFD
981,Food Lion Store,11560 NC HIGHWAY 55 E,GRANTSBORO,28529,FL MFD
